#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:simualted" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:simualted" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:simualted">
#                <taxonset id="TaxonSet.simualted" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:simualted" name="distribution" x="@birthRate.t:simualted">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:simualted" name="distribution">
#            <parameter id="kappa.s:simualted" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@simualted" id="treeLikelihood.simualted" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:simualted">
#            <siteModel id="SiteModel.s:simualted" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:simualted" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:simualted" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:simualted" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:simualted" kappa="@kappa.s:simualted" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:simualted" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:simualted" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:simualted" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:simualted" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	YuleModel	birthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-9556.643709433036	-9548.865383921278	-7.778325511758266	-9548.865383921278	2.158566931325767	2.0	-5.912965477783978	1.0	0.25	0.25	0.25	0.25
1000	-3024.329677862978	-3051.999705775687	27.670027912708775	-3051.999705775687	0.005071804683526723	2.0	29.535387946683063	20.17270155889286	0.2505875610077381	0.24746455865439757	0.2586781220698985	0.2432697582679659
2000	-2990.696130169734	-3042.0141356323156	51.318005462582036	-3042.0141356323156	0.003044004800689394	2.0	53.18336549655633	312.99103101825483	0.2505875610077381	0.24634603050626241	0.2597966502180336	0.2432697582679659
3000	-2989.7652626539943	-3040.557030581495	50.7917679275008	-3040.557030581495	0.004484861241458303	2.0	52.657127961475084	493.8288802557759	0.25313581249971695	0.24634603050626241	0.25724839872605476	0.2432697582679659
4000	-2988.269520869327	-3041.98163525407	53.712114384743	-3041.98163525407	0.0029938637158555435	2.0	55.57747441871729	750.8491093440779	0.25463708839715765	0.24928338343773188	0.25574712282861406	0.24033240533649644
5000	-2989.1361689159644	-3041.8819389950463	52.745770079082064	-3041.8819389950463	0.0030161737535080555	2.0	54.611130113056355	559.373208047371	0.25463708839715765	0.24646496594705822	0.25574712282861406	0.2431508228271701
6000	-2989.1568633472752	-3041.845217552741	52.68835420546547	-3041.845217552741	0.003392527574709058	2.0	54.553714239439756	638.7418345455837	0.2533902293819389	0.24646496594705822	0.25574712282861406	0.24439768184238886
7000	-2985.093147596234	-3038.7274188049255	53.634271208691665	-3038.7274188049255	0.003333998727134176	1.5009051927239476	55.29530320427194	397.0954243865669	0.2501067994905604	0.23742870279181053	0.26430773647709294	0.24815676124053612
8000	-2984.9388817551207	-3037.3002755673474	52.361393812226765	-3037.3002755673474	0.002897310523918446	0.9334652034129307	53.8002062969459	348.05271890059237	0.2501067994905604	0.23742870279181053	0.26430773647709294	0.24815676124053612
9000	-2986.958959261876	-3040.345382631095	53.38642336921947	-3040.345382631095	0.0030622124511573085	0.9334652034129307	54.82523585393861	863.242072254295	0.2501067994905604	0.23742870279181053	0.27366690448219455	0.23879759323543448
10000	-2982.6090121299335	-3041.1020320555826	58.49301992564916	-3041.1020320555826	0.0019882321497749584	0.9334652034129307	59.931832410368294	1041.3732755300014	0.2501067994905604	0.23742870279181053	0.27366690448219455	0.23879759323543448
